word,number_of_occurences
a,7254
v,4321
byť,4133
na,3605
sa,2680
the,2654
s,2203
ktorý,1696
z,1598
of,1584
to,1453
in,1336
and,1231
o,1184
on,1145
ako,1145
aj,1132
k,898
mať,829
že,793
pre,777
do,726
žiak,698
dostupný,638
alebo,615
táto,594
môcť,559
biológia,556
[online],541
svoj,498
covid,492
],486
<,482
[cit,475
rok,468
za,463
internet,462
pri,457
škola,434
by,429
od,397
či,391
proces,385
ale,371
územný,364
čo,362
;,360
učiteľ,353
cieľ,345
i,345
ona,344
štát,340
si,327
otázka,327
podľa,321
rozpočet,311
samospráva,310
vzdelávanie,309
pandemic,302
po,300
ono,299
m,299
nový,293
systém,292
úroveň,289
aby,282
medza,277
verejný,276
príjem,272
obec,268
strana,268
for,258
už,257
stať,257
pojem,254
vláda,252
j,251
is,246
biologický,245
ďalší,244
p,242
však,238
základný,235
všetok,232
oblasť,230
>,225
iný,225
toto,224
krajina,224
forma,223
základ,221
zmena,220
zákon,219
práca,217
veľký,216
zdroj,211
veda,210
prostriedok,206
téma,204
jeden,204
finančný,204
slovenský,202
rámec,201
zdravotný,201
napríklad,200
tak,197
vysoký,196
nie,194
keď,194
prvý,193
činnosť,193
výdavok,192
as,191
ak,191
právo,189
r,189
hodnotenie,189
výsledok,188
prostredie,188
prípad,187
nástroj,185
politický,184
rôzny,184
štátny,183
vlastný,183
veľa,181
no,180
problém,179
that,179
obsah,179
pod,178
aktivita,178
zručnosť,178
kde,174
Slovensko,170
spôsob,170
život,169
e,169
ísť,169
len,168
situácia,168
new,166
spoločnosť,165
teda,164
org,163
daný,162
každý,162
úloha,161
vzťah,161
with,160
západný,160
rozpočtový,159
vzdelávací,158
miesto,157
dôležitý,157
čas,155
musieť,155
spojený,154
jednotlivý,152
pomoc,152
d,151
aký,151
government,150
it,149
niektorý,149
model,149
financovanie,149
tento,148
predstavovať,148
sr,148
celok,147
organizmus,147
rozvoj,146
druhý,146
č,146
predmet,146
informácia,146
tá,145
učenie,145
diskusia,144
správa,144
až,143
starostlivosť,143
postup,142
stav,142
skupina,140
poznatok,138
republika,137
podmienka,137
príklad,137
potreba,135
často,135
výučba,135
najmä,133
was,133
školský,133
prístup,132
svet,130
človek,129
from,129
obdobie,128
testovanie,127
reklama,127
možný,125
príspevok,123
Bratislava,123
not,123
životný,123
láska,123
ochorenie,121
daň,121
štyri,120
ara,120
význam,120
potrebný,120
trest,120
orať,119
program,119
schopnosť,118
organizácia,117
projekt,117
samosprávny,117
u,116
test,116
dva,116
funkcia,116
metóda,116
at,115
se,114
politika,114
európsky,114
this,113
počas,113
časť,113
be,112
výkon,112
miestny,112
kraj,112
bez,111
krehkosť,111
napr,110
región,110
ľudia,110
viesť,110
text,109
zdravie,109
štruktúra,109
objekt,108
preto,108
regionálny,107
riešenie,107
školstvo,107
pred,106
local,105
štandard,105
zariadenie,105
•,105
fotografia,105
počet,104
možnosť,104
hungary,104
veľmi,104
sociálny,103
určitý,103
opatrenie,103
služba,102
,102
eu,100
kráľovstvo,100
výskum,99
nebyť,99
dať,99
f,99
porozumenie,99
ekonomický,98
bežný,98
dotácia,98
vedecký,97
začať,97
proti,97
pandémie,97
stupeň,97
vedomosť,97
doprava,97
political,96
eú,96
prax,95
hasiť,95
vývoj,94
keďže,94
t,94
pričom,94
znak,94
didaktika,94
zároveň,92
osoba,92
coronavirus,92
takýto,92
global,92
územie,91
n,91
were,91
priebeh,91
odborný,90
orgán,90
patriť,90
okrem,90
system,90
states,90
volebný,90
kognitívne,90
súčasť,89
predpis,89
tiež,89
všeobecný,89
storočie,89
zdravotnícky,88
which,88
prostredníctvo,88
druh,88
kráľ,88
tzv,87
tvoriť,87
an,86
pdf>,86
možno,86
získať,86
digitálny,86
hodina,86
public,85
vysoká,85
záujem,85
emergency,85
smrť,85
samotný,84
kľúčový,84
vplyv,84
my,83
fakt,83
fond,83
súčasnosť,83
klimatický,83
ministerstvo,82
how,82
praktický,82
jav,82
hľadisko,82
have,81
countries,81
trend,81
odpoveď,81
international,80
obyvateľ,80
pohľad,80
world,80
their,80
Čína,80
komplementárny,80
pravidlo,79
regional,79
poskytovať,79
nízky,78
súvislosť,78
trieda,78
ľudský,78
balkánu,78
vznik,77
plán,77
bunka,77
významný,76
ďaleko,76
občan,76
kol,76
zásada,76
balkans,76
iba,76
výnos,76
stratégia,75
viacerí,75
napriek,75
kompetencia,75
vyučovací,75
slovo,74
znamenať,74
b,74
uvedený,74
literatúra,74
seba,74
používať,74
western,74
rovnako,74
rozdiel,74
health,73
