word,number_of_occurences
a,4309
v,2971
na,2438
byť,2158
ktorý,1164
alebo,1057
sa,1009
s,1003
o,914
z,713
pre,658
služba,654
podľa,572
do,556
k,534
pamiatkový,466
vysielanie,403
aj,399
oblasť,395
štát,389
ak,368
on,364
rok,364
ako,360
kultúrny,355
táto,333
programový,324
program,322
osoba,319
zákon,313
toto,311
licencia,303
verejný,301
podpor,281
za,280
opatrenie,273
projekt,273
cieľ,263
rozvoj,256
od,255
slovenský,254
úrad,252
doprava,251
podmienka,247
územie,243
sr,238
rad,234
odsek,230
irop,227
môcť,227
iný,224
ochrana,224
pri,223
rámec,221
b,216
mať,215
činnosť,215
deň,204
to,203
kultúra,202
republika,199
únia,195
aktivita,195
starostlivosť,193
pamiatka,190
ods,189
rada,185
prostredníctvo,184
úroveň,180
svoj,180
orgán,177
stratégia,176
audiovizuálny,176
sociálny,170
všetok,170
základ,168
uvedený,168
retransmisia,167
regionálny,166
ono,165
zariadenie,163
dielo,161
odborný,158
rozhodnutie,158
miesto,157
po,157
dieťa,156
počet,154
vzdelávanie,153
ona,152
infraštruktúra,151
zmena,150
zdravotný,144
článok,144
národný,143
mediálny,143
že,142
štátny,142
archeologický,142
podpora,140
krajský,139
žiadosť,138
predpis,137
nie,136
osobitný,136
povinný,135
ministerstvo,135
pracovný,134
systém,134
jeden,131
skupina,130
každý,130
organizácia,128
právo,128
plán,127
finančný,127
konanie,127
c,126
požiadanie,126
správa,125
príprava,125
zdroj,124
nový,124
povinnosť,124
čas,124
európsky,123
údaj,123
voda,122
kreatívny,121
obec,120
najmä,119
prístup,119
fyzický,119
potreba,118
miestny,118
obdobie,117
región,117
súlad,117
účel,117
príslušný,116
hodnota,114
vysielateľ,114
územný,113
celkový,112
výskum,112
vrátane,109
televízny,109
podiel,108
záujem,108
fond,108
až,107
zabezpečenie,106
prostredie,106
realizácia,104
technický,104
cesta,104
op,104
taký,104
prostriedok,103
prípad,103
vysielateľa,103
škola,102
diel,102
základný,100
časť,100
i,100
medzinárodný,100
dohovor,99
mestský,97
sieť,97
člen,97
poskytovanie,96
zlepšenie,95
kvalita,95
určený,95
forma,94
aby,93
stav,93
č,93
právny,93
integrovaný,91
práca,91
verejnosť,91
poskytovať,91
osobný,90
centrum,90
zvýšenie,90
právnický,90
udržateľný,89
len,89
rozsah,88
zabezpečiť,87
jednotlivý,87
spôsob,87
žiadateľ,87
nález,87
špecifický,86
ustanovenie,86
d,85
medza,84
bez,84
spoločnosť,84
euro,84
implementácia,83
poskytovateľ,83
informácia,83
umelecký,83
výkon,82
vzťah,79
proces,79
súčasť,79
možno,79
vec,79
tá,78
vlastník,78
vyhlásenie,78
dokument,77
príspevok,77
musieť,77
výsledok,77
ďalší,77
možnosť,77
obnova,76
tento,76
reklama,76
spolupráca,75
obyvateľ,74
úprava,74
vysoký,74
strategický,74
budova,74
mesto,73
budovanie,72
umenie,72
ďaleko,72
život,71
napr,71
podujatie,71
sektor,70
kapacita,70
platnosť,70
ii,69
priemysel,69
právať,69
zameraný,68
čo,68
modernizácia,68
potrebný,67
priestor,67
tak,67
tvorba,65
dopravný,65
veľký,65
či,65
vykonávať,65
sídlo,65
oprávnený,65
návrh,65
okrem,64
trieda,64
rozhlasový,64
registrácia,64
účinnosť,63
ukazovateľ,63
pred,62
rekonštrukcia,62
e,61
významný,60
ísť,60
objekt,60
niektorý,60
subjekt,60
akt,60
možný,59
existujúci,59
iba,59
ostatný,59
trh,59
nesmieť,59
dedičstvo,59
plnenie,58
nástroj,58
by,58
vybavenie,58
cieľový,58
energetický,58
zoznam,58
riaditeľ,58
riešenie,57
prevádzkovateľ,57
vzťahovať,57
zároveň,56
mobilita,56
však,56
zníženie,56
prvý,56
dokumentácia,56
výbor,56
generálny,56
pomoc,55
tradičný,55
žiak,55
mesiac,55
udelený,55
kraj,54
veľa,54
pod,54
prispievať,53
nebyť,53
vlastný,53
ľudový,53
autor,53
priorita,52
stavebný,52
poskytovaný,52
vláda,52
zamestnanosť,52
určiť,52
výzva,51
investícia,51
Slovensko,51
náklad,51
úloha,51
ustanovený,51
hľadisko,50
realizovaný,50
cestný,50
využívanie,50
požiadavka,50
ro,50
hospodársky,49
hlavný,49
nízky,49
málo,49
obsahovať,49
prijímateľ,49
príloha,49
strana,49
potenciál,49
umelec,49
považovať,48
vidiecky,48
obyvateľstvo,48
tri,48
komisia,48
nehnuteľnosť,48
mas,48
primárny,47
princíp,47
kultúrne,47
výstavba,47
hodnotenie,47
rast,46
zamestnanec,46
výber,46
rozpočet,46
oznámiť,46
oznámenie,46
avf,46
predpoklad,45
resp,45
vhodný,45
riadenie,45
lehota,45
záznam,45
Európa,44
všeobecný,44
riús,44
preklad,44
nálezisko,44
ale,43
