word,number_of_occurences
a,3121
sa,2460
byť,2352
na,1549
on,1398
ten,995
to,900
ja,789
čo,767
len,767
ale,762
do,722
že,713
ako,705
ty,682
už,622
ho,577
s,562
keď,561
v,552
z,543
tu,540
aj,469
tak,452
za,449
by,442
i,397
ani,389
ona,388
tá,387
všetok,380
po,376
bola,370
ešte,360
k,354
aby,327
tam,323
dať,317
kráľ,300
ísť,293
hneď,279
prísť,279
jeden,278
povedať,249
od,235
či,234
dobre,233
veď,227
svoj,223
raz,222
mať,219
vy,218
o,212
môj,211
kde,203
nebyť,199
pán,189
nuž,184
otec,178
nič,172
jej,171
no,170
ich,167
človek,167
kto,164
dom,163
hora,162
teraz,157
chcieť,155
lebo,155
taký,154
druhý,152
tento,149
vidieť,149
pot,147
ak,144
veru,140
pred,140
žena,140
my,134
až,134
iba,134
seba,132
ktorý,132
zasa,131
tri,129
vedieť,129
čože,129
sám,123
svet,122
mnoho,121
jeho,121
brat,118
vziať,116
hlava,116
deň,116
starý,115
začať,113
syn,110
môcť,108
pri,108
každý,107
pod,105
nemôcť,100
nie,100
čert,98
cesta,97
oko,97
nevedieť,96
mal,96
boh,95
ach,95
pavol,93
dobšinský,93
náš,93
takto,88
zlatý,88
dieťa,88
čas,87
moja,87
riecť,86
musieť,86
veľmi,86
chodiť,85
pekný,85
mladý,83
ruka,82
pekne,82
ovca,82
zem,82
nemať,81
ej,78
von,78
milý,78
tretí,78
tvoj,77
robiť,75
dva,74
pravda,74
zavolať,74
nad,73
dobrý,72
povedá,72
dol,71
voda,71
noha,70
predsa,70
nájsť,69
ďalej,69
pustiť,68
ráno,68
noc,67
kôň,66
večer,66
dostať,66
nebeský,66
bača,65
zámka,65
bo,64
volať,64
vravieť,63
dosť,62
okolo,62
matka,62
zas,61
táto,60
dievka,60
aký,58
urobiť,57
akoby,57
vlk,56
krásny,56
sem,55
izba,55
samý,55
strana,54
medza,54
celý,54
hovoriť,54
stať,53
veľký,53
dna,53
vrátiť,53
pani,53
nechcieť,52
prosiť,52
kráľovský,52
dievča,52
rada,51
kráľovná,51
ta,50
chlapec,50
stôl,50
keby,50
janko,50
dvere,49
nedať,49
doma,49
prvý,49
pre,48
vec,48
bývať,48
jaj,48
nikdy,48
posteľ,48
spať,47
chlap,47
u,47
kdeže,44
postaviť,44
pes,44
druhá,44
poď,43
ukázať,43
aspoň,43
popolvár,43
šuhaj,43
akože,43
vraj,43
vtom,43
krása,43
baba,42
celá,42
pomyslieť,42
slovo,42
šťastie,41
sto,41
dedina,41
počuť,41
otcov,41
mesiačik,41
peter,41
šarkan,40
voľač,40
mala,40
dcéra,40
sestra,40
zazrieť,39
hľadať,39
pobrať,39
strach,39
naozaj,39
sedieť,39
milá,39
rok,39
cez,39
princ,39
vôl,38
nevidieť,38
bez,38
ostať,38
muž,38
dvor,38
treba,38
sluha,38
dakde,37
toto,37
odísť,37
poznať,37
toľko,37
sadnúť,37
azda,37
bežať,37
zlato,37
kráľovič,37
klinko,37
vojsko,37
baranec,37
vždy,36
skala,36
kus,36
odpovedať,36
nebojsa,36
stretnúť,35
skoro,35
starať,35
alebo,35
vrch,35
rad,35
pánboh,35
peniaz,35
pôjsť,34
čakať,34
radšej,34
nech,34
pokoj,34
mesto,34
diera,34
dvanásť,34
svetský,34
naspäť,33
zle,33
plece,33
otvoriť,33
breh,33
krava,33
voz,33
teda,32
dobré,32
trocha,32
skočiť,32
dlho,32
nechať,32
oheň,32
sused,32
gazda,32
žiak,32
proti,31
kázať,31
had,31
tiež,31
strom,31
slnce,31
letieť,31
krajina,31
nik,31
múdry,31
bohatý,31
chudobný,31
drahý,31
peklo,31
prorok,31
duša,30
vtedy,30
preto,30
mäso,30
valach,30
stará,29
pýtať,29
na_on,29
dôjsť,29
hodiť,29
zbojník,29
mama,29
vôľa,29
utekať,29
radosť,29
pocestný,29
kuchta,29
ľahko,28
poslať,28
vyjsť,28
rozpovedať,28
hodný,28
spytovať,28
vrece,28
inší,28
vari,28
hostina,28
prejsť,28
miesto,28
maruška,28
železník,28
rozum,27
ďaleko,27
viezť,27
peniaze,27
nikto,27
práve,27
spýtať,27
braček,27
medveď,27
preriecť,27
ostatný,26
plakať,26
premeniť,26
pomoc,26
ryba,26
dáky,26
kraviar,26
tráva,26
žiť,26
chvíľa,26
ježibaba,26
sedem,25
priam,25
jesť,25
stáť,25
plný,25
chrbát,25
opýtať,25
myslieť,25
biely,25
vytiahnuť,25
naveľa,25
kyj,25
koč,25
vajce,24
koľko,24
trebárs,24
svadba,24
pásť,24
bok,24
znať,24
krv,24
moji,23
pec,23
para,23
držať,23
hľa,23
srdce,23
mladá,23
zmiznúť,23
inak,23
mor,23
pole,23
zjesť,23
istý,23
čižma,23
preč,22
vtáčik,22
stály,22
stúpať,22
nebo,22
obrátiť,22
veliký,22
hodina,22
kostol,22
mater,22
remeslo,22
kubo,22
doniesť,22
najesť,22
hej,22
jedlo,22
rovno,22
utešený,22
dukát,22
lúka,22
mátať,22
prst,21
rozkázať,21
komora,21
ľahnúť,21
robot,21
naveky,21
skorej,21
nepovedať,21
vlas,21
statočný,21
život,21
koniec,21
kráľov,21
napokon,21
prečo,21
nikde,21
kút,21
sud,21
vybrať,21
mlynár,21
biť,21
kamarát,20
ležať,20
ba,20
panička,20
darmo,20
šat,20
dívať,20
váš,20
pozrieť,20
hostinec,20
jelenček,20
žiaden,20
dobehnúť,20
koruna,20
počkať,19
piť,19
široký,19
eh,19
košiar,19
čelo,19
naraz,19
telo,19
smrť,19
zabiť,19
spôsob,19
kraj,19
hrob,19
nevesta,19
koža,19
nebáť,19
oblok,19
brána,19
žiadať,19
ohlásiť,19
vojna,19
potvora,19
stredný,19
tátoš,19
onen,18
vyletieť,18
vyskočiť,18
neznať,18
mocný,18
drevo,18
záhrada,18
nový,18
viesť,18
dačo,18
ústa,18
pochytiť,18
dávno,18
polnoc,18
víno,18
krásne,18
skapať,18
celkom,18
vyhľadať,18
staručký,18
havran,18
soliť,18
soľ,18
veľa,17
zvolať,17
hviezda,17
prebudiť,17
uložiť,17
sa;,17
kremä,17
ucho,17
chlapček,17
čoby,17
rodič,17
neurobiť,17
zub,17
pravo,17
malý,17
myseľ,17
dakto,17
tamten,17
uchytiť,17
zložiť,17
pripraviť,17
čierny,17
kŕdeľ,17
kadiaľ,16
smelo,16
spustiť,16
koleno,16
páčiť,16
ozvať,16
položiť,16
nejsť,16
celieť,16
reč,16
vykonať,16
predtým,16
niesť,16
dnes,16
chlieb,16
lenže,16
brať,16
hoj,16
vlastný,16
večera,16
zachytiť,16
smutný,16
koryto,16
naostatok,16
ďakovať,16
ktože,16
človečina,16
jablko,16
maťko,16
barla,16
vilko,16
posol,16
princezka,16
zaspať,15
do_on,15
krídlo,15
zísť,15
zastať,15
hútať,15
pomaly,15
chýr,15
nesmieť,15
zraz,15
radca,15
krá,15
všade,15
vodiť,15
cigániť,15
nos,15
hľadieť,15
nosiť,15
vyzerať,15
spravodlivý,15
švagor,15
pečienka,15
oba,15
stavať,15
krivý,15
žeby,15
nechyrovať,15
načo,15
uvidieť,15
vyslobodiť,15
voliak,15
rytier,15
opytovať,14
štyri,14
vysoký,14
čižmár,14
prepustiť,14
koliba,14
akýsi,14
rásť,14
prepadnúť,14
odtrhnúť,14
chvost,14
človiečik,14
rozprávať,14
nariekať,14
ticho,14
poslúchnuť,14
prestať,14
počať,14
oj,14
poďakovať,14
vyrozprávať,14
kúpiť,14
aha,14
víťaz,14
stoj,14
naposled,14
neprísť,14
mládenec,14
posadiť,14
koza,14
jabĺčko,14
hádam,14
kňaz,14
vetrík,14
drak,14
vojak,14
kuchár,14
úradník,14
podzemský,14
les,13
poberať,13
pribehnúť,13
tvár,13
udrieť,13
kedy,13
jedľa,13
píšťalka,13
vďačne,13
kade,13
hnev,13
bieda,13
ľúbiť,13
pustý,13
aleže,13
pokloniť,13
prach,13
bohatstvo,13
sobáš,13
padnúť,13
zaplatiť,13
napiť,13
palota,13
šabľa,13
statočne,13
ukryť,13
nože,13
dvanásty,13
takýto,13
kričať,13
rožok,13
privoliť,13
kura,13
sklenený,13
striga,13
kapsa,13
hrniec,13
priletieť,13
popri,13
biskup,13
ťažko,13
mechúrik,13
koščúrik,13
žobráčik,13
starká,13
drahá,13
kobyla,13
služba,13
rozprávka,12
spolu,12
svetlo,12
chytiť,12
odraz,12
kúsok,12
sila,12
naprostred,12
strhnúť,12
počúvať,12
zima,12
plač,12
boží,12
hrsť,12
zabudnúť,12
dač,12
visieť,12
hrdý,12
dolina,12
mladé,12
tamto,12
oddať,12
stádo,12
líška,12
čiže,12
sľúbiť,12
zatvoriť,12
vietor,12
neďaleko,12
hm,12
evička,12
sestrička,12
studnička,12
vypustiť,12
spraviť,12
šťastlivo,12
naskutku,12
rozumieť,12
dobre;,12
truhlica,12
medzitým,12
tešiť,12
myška,12
skok,12
húšťava,12
tuná,12
umrieť,12
zajesť,12
súdok,12
psota,12
vtáča,12
košeľa,12
stoličný,12
opatriť,11
malo,11
zaniesť,11
kačka,11
hrdlo,11
salaš,11
stena,11
dlhý,11
hen,11
iste,11
černokňažník,11
triasť,11
plameň,11
okamžení,11
písmo,11
jediný,11
rozkaz,11
toľký,11
nepustiť,11
božiť,11
zať,11
mlieko,11
schytiť,11
majster,11
vyhnať,11
šíry,11
popod,11
pristať,11
ťahať,11
ozaj,11
holý,11
chovať,11
krok,11
naučiť,11
hor,11
merať,11
hriech,11
boháč,11
vykladať,11
zobrať,11
macocha,11
sotva,11
vstať,11
nezadlho,11
vzdychnúť,11
rodina,11
kosť,11
hostinská,11
zabávať,11
sláva,11
neborák,11
zakliaty,11
zobudiť,11
hostinský,11
dar,11
kohút,10
tovariš,10
pohnúť,10
tatam,10
hotové,10
chytro,10
jama,10
just,10
prichádzať,10
vstúpiť,10
kopyto,10
strčiť,10
vysoko,10
druh,10
prikázať,10
takže,10
hlas,10
zlý,10
poradiť,10
porobiť,10
bál,10
skúsiť,10
pritom,10
tiecť,10
šaty,10
synak,10
vydať,10
poludnie,10
malá,10
vyviesť,10
znovu,10
hlad,10
zabrať,10
rúbať,10
sekera,10
dub,10
žart,10
súd,10
málo,10
cela,10
žobrák,10
vaša,10
pojať,10
predný,10
podať,10
právo,10
mucha,10
susedný,10
radiť,10
vybehnúť,10
jelenčeka,10
chorý,10
objať,10
ukradnúť,10
husár,10
nechodiť,10
blázniť,10
líštička,10
pár,10
síce,10
strigôň,10
mak,10
blúdiť,10
kropiť,10
samotný,10
hrdo,10
popredku,10
mati,10
hniezdo,10
škoda,10
duch,10
zatrúbiť,10
zaviesť,10
groš,10
roztrhať,10
pocestná,10
prsteň,10
doktor,10
starušký,10
bodrík,10
míľa,10
jastrab,10
moriak,9
svietiť,9
dobro,9
spoza,9
vyhodiť,9
doletieť,9
spod,9
zrovna,9
sedliak,9
železný,9
nečakať,9
zelinka,9
konečne,9
nazdať,9
dvíhať,9
nedobre,9
vyjaviť,9
list,9
vŕba,9
tuho,9
vypraviť,9
cudzí,9
šťastne,9
plávať,9
pás,9
chvíľka,9
ponáhľať,9
novina,9
trón,9
zajac,9
zastaviť,9
nebožiatko,9
pastier,9
prijať,9
pysk,9
krútiť,9
stajňa,9
hop,9
varta,9
črieda,9
darovať,9
otvor,9
vysoká,9
kríž,9
prázdno,9
prázdny,9
pozor,9
dievčatko,9
zbierať,9
slnko,9
obzrieť,9
nazad,9
ruža,9
zbožie,9
klinka,9
čin,9
kochom,9
priniesť,9
bratko,9
najprv,9
skryť,9
dovoliť,9
miesiť,9
statok,9
um,9
lež,9
nachovať,9
krik,9
vek,9
komár,9
žabka,9
vták,9
zažiadať,9
zvonár,9
vychytiť,9
plachta,9
nežiadať,9
márne,9
strieborný,9
hus,9
chybieť,9
mešec,9
zabrechne,9
rak,8
pitvor,8
lopata,8
ozývať,8
skaza,8
chytať,8
hja,8
chalupa,8
zanechať,8
nebodaj,8
podívať,8
pôjd,8
prísaha,8
bačov,8
zožrať,8
náramne,8
muška,8
kniha,8
ponad,8
strašne,8
zdať,8
kameň,8
zaradovať,8
opamätal,8
prichodiť,8
zavše,8
jasný,8
prosto,8
ináč,8
diviť,8
moc,8
prv,8
pnúť,8
hoc,8
obliecť,8
dakedy,8
zaberať,8
hybaj,8
potok,8
zohriať,8
farár,8
rád,8
neprestať,8
divný,8
blázon,8
preletieť,8
plot,8
štvrtý,8
šmyk,8
pravý,8
potľapkať,8
veďže,8
hopsa,8
javor,8
tanier,8
tadnu,8
klietka,8
bezpečný,8
zatiaľ,8
tohoto,8
plánočka,8
dolami,8
nešťastný,8
poľovník,8
chuť,8
oženiť,8
starieť,8
zarezať,8
bohvie,8
vyriecť,8
klinec,8
kompit,8
kantár,8
vopred,8
doviesť,8
pozerať,8
stratiť,8
dlaň,8
blato,8
pomôcť,8
oklamať,8
nadarmo,8
smrdieť,8
zamyslieť,8
zajtra,8
uhádnuť,8
utiahnuť,8
kyjak,8
dáko,8
šibať,8
červená,8
horko,8
myš,8
rapotačka,8
svieca,8
ledva,8
predať,8
dávať,8
týždeň,8
skákať,8
meč,8
tanec,8
rieka,8
bitka,8
žriebä,8
princezke,8
princezku,8
dovtedy,8
pustovník,8
kamarátka,8
sukňa,8
tatko,8
mamo,8
most,8
dúbrava,8
trúbka,8
jednak,7
rozbehnúť,7
hladný,7
pánt,7
chyža,7
otvorený,7
div,7
usnúť,7
preľaknúť,7
báť,7
nevrátiť,7
neplakať,7
kdesi,7
úd,7
čítať,7
zvrtnúť,7
živý,7
vydýchnuť,7
povetrie,7
zmilovať,7
otcu,7
zvonec,7
driečny,7
hruška,7
krém,7
príčina,7
kráľovstvo,7
neprichodiť,7
naradovaný,7
starček,7
nedajbože,7
stolica,7
blízky,7
naľakať,7
uniesť,7
inakší,7
pozde,7
usmiať,7
desať,7
potvrdiť,7
richtár,7
slávny,7
dočkať,7
svetlica,7
hrom,7
vypočúvať,7
vkročiť,7
horšie,7
gazdiná,7
kvet,7
