word,number_of_occurences
sa,4384
a,3952
byť,3572
na,1990
on,1908
v,1870
i,1394
ona,1309
čo,1250
že,1147
ja,1055
jej,899
to,873
do,853
ktorý,846
ako,834
s,830
z,749
by,719
ty,669
keď,604
ten,585
ho,582
svoj,542
všetok,526
ani,516
už,503
no,488
mať,429
oko,429
ale,427
k,419
bola,411
jeho,405
za,404
tu,389
tak,384
od,362
len,356
ešte,355
nie,337
dom,336
po,329
nebyť,306
či,298
hlava,290
vy,289
pred,286
niko,285
vedieť,277
vidieť,272
o,266
kto,261
kde,258
môcť,255
aby,248
taký,242
pod,240
sám,237
akoby,237
teraz,233
ich,227
ruka,226
my,224
zas,222
seba,219
každý,215
srdce,212
pri,209
druhý,203
tvár,201
nech,198
tento,197
chcieť,194
jeden,191
ak,185
človek,185
nič,183
dobre,181
zvolať,181
šor,180
svet,178
nemať,177
musieť,177
ísť,177
pani,177
tá,173
bez,172
šora,168
mat,167
dať,162
nevedieť,161
katica,160
prísť,159
hlas,158
alebo,157
nad,157
raz,156
nemôcť,155
aký,154
keby,153
mesto,150
náš,150
môj,150
zandome,150
lebo,147
moja,147
pohľad,142
tam,140
medza,134
dnes,132
povedať,131
iba,130
hovoriť,130
veľký,130
čosi,127
pozrieť,126
pán,122
rok,122
čakať,121
dieťa,120
nikdy,118
cítiť,117
zdať,117
táto,116
treba,114
mnoho,114
boh,113
duša,113
slovo,113
na_on,113
robiť,113
teda,112
vždy,112
takto,110
otec,110
prvý,109
vec,109
strana,109
sťa,107
život,107
deň,107
ilija,107
celá,103
držať,103
odpovedať,103
hneď,101
nový,100
doktor,100
pot,99
prečo,98
anzula,98
tvoj,97
nájsť,97
šťastie,96
pozerať,96
nuž,94
okolo,94
žena,94
pravda,93
dosť,93
veď,93
druhá,92
dvor,92
aspoň,91
až,90
myseľ,90
láska,90
skoro,89
predsa,89
čas,88
hľadieť,87
celý,87
pre,86
stáť,84
veľmi,84
paško,84
cela,83
konečne,82
veru,82
začať,81
dobrý,81
syn,80
pýtať,79
tiež,78
ľahko,77
ostať,77
istý,77
zem,77
dva,76
cesta,75
radosť,75
vinica,75
slza,75
dievka,73
sedieť,73
práve,72
nenie,72
mater,71
ťažko,71
nik,71
kedy,70
vzdor,69
myslieť,68
než,67
u,66
stať,66
plný,66
miesto,66
trocha,66
jera,65
mama,65
urobiť,65
úsmev,64
starý,63
pivnica,63
zase,63
chvíľa,63
noc,63
dievča,63
neraz,62
doložiť,62
proti,62
dorica,62
víno,61
pekný,61
možno,60
myšlienka,60
ťažký,59
vyjsť,59
jura,59
nebáť,58
bonina,58
izba,57
nádej,57
biely,57
toľko,57
niečo,56
ostatný,55
mal,55
robot,55
počať,55
noha,55
nechcieť,55
očima,55
toto,55
ústa,55
posteľ,55
zato,54
nevidieť,54
večer,54
nemožno,53
koľko,53
pokoj,53
slnce,53
smrť,53
zísť,53
bárs,53
ba,52
úbohý,52
chorý,52
ivan,51
žiť,51
um,51
vidno,51
sila,51
sen,51
akosi,50
dvere,50
chorv,50
preto,50
reč,50
hľa,50
mande,50
čierny,49
trápiť,49
obrátiť,49
áno,49
odraz,48
dvíhať,48
hora,48
tichý,48
usmiať,48
nedať,48
vina,48
samý,47
rad,47
prosiť,46
ženská,45
stará,45
vrátiť,45
matija,45
odísť,45
viesť,45
padnúť,45
hádam,45
pole,44
stôl,44
bytosť,44
čuť,44
rozpaky,44
chodiť,44
vstúpiť,44
ustavične,43
riecť,43
koniec,43
čistý,43
takýto,42
ozvať,42
krok,42
sem,42
hnev,42
vôľa,42
plece,42
malá,41
dol,41
doma,41
cit,41
zabudnúť,41
iný,41
dcéra,40
mladá,40
nejsť,40
oh,40
voda,39
nikto,39
muž,39
spokojný,39
práca,39
akýsi,38
starať,38
tal,38
gazda,38
naostatok,38
hrdosť,38
padať,37
otcov,37
spod,37
naši,37
ráno,37
hľadať,37
jediný,36
rovno,36
vtedy,36
boží,36
čelo,36
mocný,36
dobro,36
mladý,35
darmo,35
povinnosť,35
radšej,35
milá,35
dlhý,35
načo,34
loď,34
ucho,34
pravý,34
dávať,34
hlboký,34
zajtra,34
báť,34
spôsob,34
beztoho,34
temer,34
otázka,34
malý,33
pekne,33
tri,33
rodina,33
matka,33
dubčić,33
zaraz,33
poriadok,33
obed,33
ach,33
ta,33
pohnúť,33
plakať,33
prijať,33
katici,33
mateho,32
dľa,32
oba,32
vziať,32
chytiť,32
tešiť,32
obraz,32
chvalabohu,32
mala,32
bôľ,32
kuchyňa,31
ináč,31
div,31
choroba,31
strach,31
ďaleko,31
ah,31
rada,31
zvláštny,31
nikovi,31
prejsť,30
bývať,30
kostol,30
katicu,30
chodník,30
výčitka,30
svetlo,30
ľud,30
krv,30
hodiť,30
menovite,30
šťastný,30
hoc,30
triasť,30
námestie,30
vybrať,30
hodina,30
prsia,30
krútiť,30
málo,30
sladký,30
dna,30
starostiť,30
nika,30
oberačka,30
doniesť,29
poslať,29
služba,29
výraz,29
mlčať,29
skočiť,29
ticho,29
čudný,29
ďakovať,29
smiech,29
poznať,29
priateľ,29
ukázať,29
popri,28
chorvátsky,28
nos,28
dostať,28
sotva,28
všeličo,28
dobré,28
cudzí,28
mora,28
hlboko,28
vravieť,28
kráčať,28
pokyvovať,28
rozumieť,28
celkom,27
vôbec,27
grabovik,27
kameň,27
prst,27
pokračovať,27
moc,27
nosiť,27
hanba,27
počúvať,27
pohyb,27
postava,27
mor,27
brať,27
tajomný,27
dakoľko,27
hospodarica,27
oj,27
oblok,26
dnešný,26
vlas,26
pristať,26
ľúbiť,26
kraj,26
právať,26
krásne,26
nešťastie,26
veselý,26
národ,26
prisviedčať,26
snáď,26
napred,26
stisnúť,26
skutočne,26
kam,26
ktovie,26
novina,26
najprv,25
težak,25
barica,25
kdesi,25
odpustiť,25
podnik,25
veselo,25
pristúpiť,25
horieť,25
zdravý,25
poberať,25
totiž,25
všade,25
usmievať,25
znať,25
svedčať,25
pozdvihnúť,25
utiahnuť,25
biť,25
terasa,25
nešťastný,25
teta,25
sedliacky,24
druh,24
nevesta,24
ohľad,24
krátky,24
medzitým,24
diviť,24
dosiaľ,24
skončiť,24
živo,24
vari,24
ledva,24
schod,24
sestra,24
hm,24
chvíľka,24
zandomeho,24
zjav,24
