word,number_of_occurences
a,691
byť,688
v,509
sa,429
na,350
s,289
pacient,282
porucha,223
ako,187
alebo,187
ktorý,180
aj,151
klinický,146
že,146
psychologický,145
môcť,142
psychológ,133
o,128
z,121
ochorenie,118
k,117
mať,113
psychológia,110
pri,91
ten,87
problém,86
pre,84
napr,81
jeho,81
psychický,80
čo,80
to,76
človek,76
u,74
jedinec,69
výskum,68
preto,66
test,66
on,65
zdravotný,64
do,60
svoj,60
tento,59
sociálny,59
informácia,58
ale,56
od,56
často,55
život,54
ich,54
rozhovor,53
dieťa,53
aby,53
liečba,51
duševný,50
táto,48
správanie,48
iný,47
pomoc,46
nie,44
prejav,44
štúdia,42
potreba,42
metóda,41
prípad,41
napríklad,40
vyšetrenie,40
otázka,38
stav,38
schopnosť,38
zmena,38
demencia,38
viacero,37
len,36
najmä,36
strata,36
diagnóza,35
možnosť,35
typ,34
po,33
choroba,33
zdravie,33
či,32
práca,32
znevýhodnením,32
špecifický,32
by,32
situácia,32
možný,31
výsledok,31
chorý,31
b,31
cieľ,30
oblasť,30
medza,30
podoba,30
za,30
stres,30
ho,30
základ,29
až,29
pracovať,29
psychoterapia,28
my,27
osobnosť,27
reakcia,27
,27
častý,26
klinicko,26
vedieť,26
poznať,26
podľa,26
dôsledok,26
vek,26
intervencia,26
vznik,25
prax,24
ťažkosť,24
tiež,24
vlastný,24
dobré,24
emócia,24
seba,24
strach,24
kvalita,23
dôležitý,23
koncepcia,23
f,23
reč,23
ak,23
depresia,23
sluch,23
odpor,23
skupina,22
kapitola,22
funkcia,22
faktor,22
vysoký,22
čas,22
pocit,22
priebeh,22
základný,21
dva,21
jej,21
história,21
etický,21
tak,21
organizmus,21
všetok,21
lekár,21
viesť,21
rok,21
veľmi,21
úzkosť,21
vývin,21
téma,20
zameriavať,20
kde,20
systém,20
jednotlivý,20
postup,20
prístup,20
príčina,20
mozog,20
úloha,20
obdobie,20
keď,20
už,20
však,20
úzkostný,20
vzťah,20
životný,19
bola,19
látka,19
veľký,19
aktivita,19
odborný,19
činnosť,19
nutný,19
jeden,19
avšak,19
nemať,19
určitý,19
aký,19
bez,19
strana,19
rodina,19
významný,18
zdroj,18
začať,18
psychiatrický,18
symptóm,18
c,18
záujem,18
naopak,18
aktuálny,18
riziko,18
fáza,18
predmet,17
termín,17
okrem,17
ona,17
terapia,17
spracovaný,17
psychodiagnostických,17
mnoho,17
normality,17
kedy,17
rodinný,17
nadmerný,17
konflikt,17
používať,16
starostlivosť,16
súvislosť,16
pozornosť,16
súčasť,16
reprezentovať,16
fyzický,16
typický,16
prostredie,16
prejavovať,16
;,16
účastník,16
kontakt,16
pamäť,16
príznak,15
ďalší,15
rozvoj,15
fungovanie,15
nález,15
ťažký,15
prekážka,15
alkohol,15
mkch,15
pred,15
obmedzenie,15
znevýhodnenia,15
podmienka,14
nevyhnutný,14
pracovný,14
význam,14
osoba,14
diagnostika,14
schizofrénia,14
apa,14
osobný,14
istý,14
nedostatok,14
syndróm,14
nový,14
telesný,14
znížený,14
závislosť,14
sociálne,14
spojený,14
každý,14
komunikácia,14
testový,14
vedomosť,13
potrebný,13
psychodiagnostika,13
prvý,13
slovo,13
charakteristika,13
súhrn,13
znevýhodnenie,13
deň,13
liečebný,13
rozlišovať,13
dominovať,13
teda,13
normálne,13
zvýšený,13
biologický,13
vyhľadať,13
nevedieť,13
úroveň,13
niečo,13
d,13
náročný,13
frustrácia,13
zistenie,13
bývať,13
stupeň,12
ponúkať,12
teória,12
psychodiagnostiky,12
veda,12
forma,12
pohľad,12
vedecký,12
uvádzať,12
prevencia,12
zdravý,12
adaptácia,12
skoro,12
prežívanie,12
psychoterapeutický,12
súčasný,12
práve,12
škála,12
počas,12
zdravotnícky,12
následne,12
norma,12
abnormalita,12
predpokladať,12
individuálny,12
hodnotenie,12
subjektívne,12
ohľad,12
myslenie,12
bolesť,12
neschopnosť,12
súvisieť,12
spánok,12
konkrétny,12
rozumieť,12
deprivácia,12
stretnutie,12
jav,12
zručnosť,12
podpor,12
treba,12
dobre,12
ticho,12
náplň,11
disciplína,11
vnímať,11
vývinový,11
pôsobiť,11
psychiatria,11
kritérium,11
poškodenie,11
diagnostik,11
samotný,11
tri,11
technika,11
chronický,11
stávať,11
klasifikačný,11
inteligencia,11
výskumný,11
sluchový,11
jednoduchý,11
patriť,11
ohrozenie,11
spôsob,11
okolnosť,11
ja,11
objavovať,11
použitie,11
podnet,11
dôvod,11
dsm,11
pozorovanie,11
tabuľka,11
užívanie,11
spolupráca,11
stránka,11
mal,11
obava,11
nasledujúci,10
všeobecný,10
praktický,10
štúdium,10
miesto,10
klinika,10
chápať,10
pod,10
etiológia,10
vybraný,10
záver,10
prečo,10
priniesť,10
založený,10
starý,10
niektorý,10
riešenie,10
znamenať,10
osobnostný,10
odpoveď,10
vhodný,10
štatistický,10
bežný,10
pomôcť,10
uvedený,10
postoj,10
pozitívny,10
voči,10
kontrola,10
nálada,10
súvisiaci,10
depresívny,10
množstvo,10
liek,10
taktiež,10
dlhodobý,10
tu,10
nácvik,10
špecifikum,10
údaj,10
rodič,10
db,10
predstavovať,9
poznatok,9
ponúknuť,9
široký,9
realizovať,9
kompetencia,9
preštudovaní,9
definovať,9
súčasnosť,9
daný,9
zaoberať,9
kol,9
svet,9
špeciálny,9
budúcnosť,9
mechanizmus,9
hnev,9
snaha,9
obsahovať,9
pravidlo,9
p,9
skúsenosť,9
dospelý,9
tvorba,9
smer,9
považovať,9
rámec,9
musieť,9
populácia,9
proces,9
dôkaz,9
hodnota,9
druhý,9
okolie,9
taký,9
silný,9
toto,9
diagnostický,9
pôsobenie,9
odporúčať,9
väčšina,9
ísť,9
negatívne,9
prípadne,9
klient,9
krátky,9
snažiť,9
smútok,9
anamnestický,9
nepočujúci,9
postupne,9
študent,8
časť,8
vzdelávanie,8
popis,8
vykonávať,8
profesia,8
výkon,8
subjektívny,8
využívať,8
vnímanie,8
organický,8
citovaný,8
nemusieť,8
vplyv,8
princíp,8
l,8
medicína,8
spoločnosť,8
dochádzať,8
zameraný,8
začiatok,8
detstvo,8
robiť,8
zaujímať,8
škola,8
vôbec,8
porovnanie,8
fyziologický,8
rozdiel,8
nad,8
patologický,8
vnútorný,8
spúšťač,8
hlaveň,8
ovplyvňovať,8
chyba,8
negatívny,8
hlavná,8
rola,8
rôzny,8
závažný,8
objaviť,8
povaha,8
chcieť,8
skúška,8
informovaný,8
súhlas,8
anamnéza,8
prítomnosť,8
pacientov,8
kognitívne,8
napriek,8
zdravotne,8
,8
vec,8
porozumenie,8
text,7
publikácia,7
venovať,7
klasifikácia,7
odbor,7
nemocnica,7
univerzita,7
jednoducho,7
myšlienka,7
oddelenie,7
slovenský,7
autor,7
heretik,7
behaviorálny,7
hovoriť,7
spoločný,7
psychogénne,7
funkčný,7
pýtať,7
poznanie,7
presvedčenie,7
storočie,7
meranie,7
halucinácia,7
izolácia,7
vlastnosť,7
závažnosť,7
pokračovať,7
spájať,7
ostatný,7
umožňovať,7
prirodzený,7
