word,number_of_occurences
sa,197
a,185
byť,178
v,109
na,94
les,55
ktorý,51
do,50
sám,45
že,41
už,40
z,39
to,39
aj,35
on,34
čo,32
laura,31
tu,30
človek,30
ako,29
o,29
s,29
k,28
všetok,27
by,26
vojak,26
po,25
pri,23
za,23
keď,23
tento,22
ten,22
táto,21
prípad,21
svetlo,21
dieťa,20
ešte,19
cesta,19
vidieť,19
celý,19
mať,19
svoj,19
ale,19
ich,18
žiaden,17
no,17
žiak,16
ja,16
armáda,15
od,14
ani,14
nevedieť,14
správa,14
jovse,14
bola,14
vihorlat,13
obec,13
ísť,13
len,13
nič,13
niečo,13
tak,13
aby,13
my,13
stále,13
vy,12
vojenský,11
nájsť,11
škola,11
nikto,11
lesný,11
hodina,11
okolo,11
ona,11
kde,11
tam,11
chcieť,11
každý,10
smer,10
stratený,10
ho,10
nad,10
teraz,10
znova,10
stať,10
začať,10
tma,10
vrchol,9
kto,9
hora,9
rok,9
zraz,9
nejaký,9
nebyť,9
chvíľa,9
vstup,9
bordový,9
pozrieť,8
nie,8
základný,8
práve,8
preto,8
takýto,8
oba,8
musieť,8
môcť,8
jeden,8
seba,8
nemôcť,8
krok,8
strom,8
oblasť,7
iný,7
vihorlatu,7
miesto,7
dodnes,7
nenájsť,7
dôjsť,7
cez,7
nezvestný,7
príbeh,7
dej,7
vihorlatom,7
prečo,7
dom,7
dedina,7
svet,7
postaviť,7
čas,7
ty,7
ak,7
medza,7
lauru,7
odvaha,7
veľký,7
zem,7
stan,7
pred,7
ďalší,7
streľba,7
sopka,6
jovsa,6
dokonca,6
naozaj,6
diaľka,6
stratiť,6
celá,6
mnoho,6
vyriešiť,6
dnes,6
učiteľ,6
objaviť,6
počuť,6
rôzny,6
novinár,6
turista,6
prísť,6
nik,6
či,6
strašný,6
pod,6
telo,6
rozhodnúť,6
pre,6
plán,6
ticho,6
situácia,6
bežať,6
pozornosť,5
pretože,5
výstup,5
navyše,5
samotný,5
udalosť,5
kam,5
vysvetlenie,5
deň,5
vrtuľník,5
akcia,5
vihorlatský,5
až,5
poznať,5
nemať,5
pot,5
aký,5
niekto,5
alebo,5
podľa,5
zostať,5
stretnúť,5
žena,5
lebo,5
vôbec,5
pôjsť,5
auto,5
povedať,5
nevidieť,5
približovať,5
ďalej,5
život,5
vrch,4
všimnúť,4
zatiaľ,4
občas,4
niekedy,4
trieda,4
rôzne,4
tri,4
ročník,4
melinda,4
stop,4
uzavretý,4
mnohý,4
použiť,4
chodiť,4
hranica,4
reportér,4
záhadný,4
odkiaľ,4
biely,4
dôvod,4
objavovať,4
verzia,4
sem,4
veriť,4
prvý,4
dostať,4
počet,4
dol,4
niekde,4
jej,4
prejsť,4
zima,4
sestra,4
vziať,4
ruka,4
mama,4
fontána,4
ozvať,4
určite,4
melindu,4
vedieť,4
chlapec,4
možno,4
toľko,4
samý,4
všade,4
kamera,4
noc,4
američania,4
štáb,4
toto,4
strata,4
držať,4
rozbehnúť,4
červená,4
nikde,4
zmiznúť,4
výkrik,4
pyramída,4
zhruba,3
nachádzať,3
slovensku,3
nečinný,3
cítiť,3
blízko,3
jeho,3
hneď,3
ostatný,3
ťažko,3
náročný,3
vysoká,3
dramatický,3
michalovciach,3
vrátiť,3
chýbať,3
deviaty,3
otriasť,3
okres,3
hľadanie,3
nasadiť,3
uzavrieť,3
prístup,3
územie,3
celkom,3
priviesť,3
skoro,3
dva,3
jazyk,3
mysteriózny,3
úplne,3
začínať,3
prilákať,3
ufo,3
cudzinec,3
mesiac,3
jovsu,3
hotel,3
motel,3
ubytovací,3
zariadenie,3
zvládnuť,3
momentálne,3
humbug,3
sedieť,3
obidva,3
možný,3
neexistovať,3
niektorý,3
stav,3
nový,3
dobre,3
číslo,3
piaty,3
dobrovoľník,3
takisto,3
trvať,3
cirkus,3
samovi,3
rozmýšľať,3
lavička,3
myslieť,3
jediný,3
informácia,3
pomôcť,3
strach,3
zvedavosť,3
presne,3
istý,3
celieť,3
záhrada,3
film,3
cena,3
priamo,3
prechádzať,3
koniec,3
asi,3
večer,3
strana,3
hlas,3
nesmieť,3
dopustiť,3
vojsť,3
kdesi,3
strieľať,3
mŕtvy,3
vlastný,3
naši,3
vkročiť,3
odohrávať,3
reálne,3
mesto,2
nedávny,2
otras,2
hlaveň,2
veľmi,2
keďže,2
chodník,2
ležať,2
reč,2
trocha,2
napriek,2
oplývať,2
vydávať,2
dobrý,2
náš,2
odohrať,2
miznúť,2
horúci,2
let,2
siedmy,2
ján,2
marko,2
štádium,2
šetrenie,2
zmiznutých,2
zúčastniť,2
množstvo,2
polícia,2
špecialista,2
terén,2
hlavná,2
obrnený,2
transportér,2
necesta,2
bezvýsledne,2
triedna,2
učiteľka,2
psychicky,2
stĺp,2
autobusový,2
zastávka,2
plagát,2
angličtina,2
záujem,2
presiahnuť,2
japonci,2
večerný,2
farba,2
záujemca,2
ufológ,2
návštevnosť,2
často,2
lietať,2
konať,2
vysvetľovať,2
domáci,2
obyvateľ,2
voľný,2
izba,2
fotografia,2
vzniknúť,2
navštíviť,2
starosta,2
nápor,2
prášok,2
tajomstvo,2
okamžite,2
prichádzajúci,2
predstaviť,2
poriadok,2
stráviť,2
prebehnúť,2
spočítavanie,2
kontrola,2
spoločne,2
vydať,2
druhý,2
kopec,2
podstata,2
teda,2
zmysel,2
mala,2
sadnúť,2
pátrací,2
krúžiť,2
hoci,2
neveriť,2
šanca,2
dobrodruh,2
streda,2
melindina,2
ročný,2
zub,2
brat,2
marka,2
zavolať,2
prosiť,2
dosť,2
áno,2
obzerať,2
uvidieť,2
okolie,2
vlastne,2
strácať,2
načúvať,2
tuho,2
jasné,2
nech,2
smena,2
jedlo,2
súhlasiť,2
samovým,2
vzhľad,2
rozísť,2
valiť,2
vyše,2
akoby,2
monitorovať,2
činnosť,2
otvárať,2
prepadnúť,2
problém,2
mimozemšťan,2
obchod,2
potravina,2
prekvitať,2
podnikanie,2
chystať,2
miestny,2
natočiť,2
neustále,2
nikdy,2
veľa,2
začiatok,2
čin,2
taký,2
základ,2
nedostať,2
prechod,2
výmena,2
hlavný,2
reštaurácia,2
batoh,2
zástup,2
doraziť,2
ubytovať,2
dodávka,2
horúčava,2
nenápadne,2
tváriť,2
vypytovať,2
presúvať,2
hrať,2
druhá,2
desiata,2
nečakaný,2
chaos,2
kapacita,2
nestačiť,2
odpovedať,2
vybrať,2
predierať,2
ozývať,2
strážiť,2
dozvedieť,2
príbuzný,2
zobrať,2
nával,2
civilný,2
obyvateľstvo,2
vysvetliť,2
pustiť,2
zapochybovať,2
blížiť,2
rečniť,2
stáť,2
kývnuť,2
nasledovať,2
plot,2
zastať,2
pozerať,2
zadný,2
stráž,2
robiť,2
neuvidieť,2
veď,2
nevenovať,2
pridať,2
bez,2
desiatka,2
nehybne,2
zviera,2
riskovať,2
začuť,2
pomóc,2
potknúť,2
vykrikovať,2
čakať,2
pohnúť,2
keby,2
laurááá,2
predtým,2
chrbát,2
tichý,2
sprevádzať,2
lúč,2
tempo,2
nočný,2
prázdno,2
stojaci,2
rad,2
ulica,2
zrkadlo,2
útok,2
zabiť,2
vymyslený,2
fikcia,2
fantastika,2
vytvoriť,2
priblížiť,2
pohľad,2
záhadnosť,2
spôsob,2
priťahovať,2
prostredie,2
existovať,2
východný,2
predslov,1
km,1
vzdušný,1
čiara,1
michalovce,1
pokrytý,1
patriť,1
hustý,1
vyhasnutý,1
minulosť,1
zaregistrovaný,1
zemetrasenie,1
ležiaci,1
zrezaný,1
upútať,1
turisticky,1
vyhľadávaná,1
dostupný,1
jasne,1
vyznačený,1
turistický,1
časť,1
blízkosť,1
neskoro,1
nepriaznivý,1
podmienka,1
vrtoch,1
počasie,1
podniknúť,1
výhľad,1
úchvatný,1
viditeľnosť,1
tatra,1
nádherný,1
príroda,1
však,1
poznačený,1
posledné,1
nevyriešené,1
zmiznutia,1
prístupný,1
vznikať,1
dohad,1
mýtus,1
scenár,1
naskakovať,1
husí,1
koža,1
výlet,1
siedmak,1
dopomôcť,1
tiež,1
jednotka,1
slovenský,1
republika,1
dočasne,1
brána,1
križovať,1
zrútiť,1
nevyučovať,1
triedny,1
nevzdať,1
nádej,1
zmiznutým,1
tvár,1
nadpis,1
zvláštnosť,1
cudzí,1
poľština,1
maďarčina,1
