word,number_of_occurences
byť,3012
sa,2073
a,1877
v,1394
na,1242
to,887
že,805
ktorý,770
ako,736
z,638
však,490
mať,473
o,471
aj,468
s,455
ten,449
tak,445
čo,414
on,405
by,399
ak,390
do,346
jeden,345
svetlo,340
keď,325
ich,318
len,314
energia,308
teda,294
nie,289
za,277
veľký,276
po,267
môcť,266
k,260
iný,252
tento,250
napríklad,235
pri,228
či,227
od,227
zem,226
ona,219
no,219
dva,218
vedieť,215
slnko,213
rok,200
my,200
svoj,198
atóm,198
pre,190
bola,187
veľmi,186
ísť,184
niečo,181
už,174
vlna,170
voda,168
všetok,165
jeho,165
taký,164
vzduch,159
človek,155
ale,154
sila,149
mesiac,148
táto,147
rýchlosť,146
aby,144
mnoho,142
prvý,141
alebo,139
začať,135
aký,135
vy,134
až,133
náš,131
ho,129
dĺžka,128
vec,127
vesmír,127
asi,126
jej,125
existovať,122
dať,121
hviezda,121
vlnový,120
farba,118
ešte,117
prečo,116
smer,116
trocha,115
molekula,115
časť,115
takýto,114
presne,112
okolo,112
teplota,109
obyčajný,108
príklad,108
svet,107
každý,107
úplne,106
planéta,106
zázrak,105
malá,105
medza,103
elektrický,103
niektorý,100
pohyb,100
gravitačný,100
preto,99
vzdialenosť,99
kilometer,99
seba,98
vidieť,97
tá,96
istý,96
toto,95
práve,95
čas,93
pole,93
takmer,92
kto,92
povedať,90
objekt,90
ja,87
vďaka,86
musieť,86
ďalší,86
malý,86
výsledok,84
zákon,84
hmota,83
než,83
problém,80
dokázať,80
ani,79
častica,79
niekoľko,78
predstaviť,78
otázka,76
rôzny,75
poznať,75
pohybovať,75
miesto,74
cez,74
jednoduchý,74
rovnica,74
teória,73
pod,73
pohľad,73
ruka,73
nič,73
život,72
niekedy,72
kde,72
možno,72
meter,72
vznikať,71
tvar,71
oblak,71
bežne,70
zas,70
sekunda,70
hovoriť,69
tlak,69
hmotnosť,69
volať,68
forma,68
rovnaký,68
fyzika,67
prípad,67
fyzik,66
kyslík,66
deň,66
tvoriť,65
teleso,65
dostať,64
plyn,64
nachádzať,64
oveľa,63
veľa,62
pomoc,62
gravitácia,62
jadro,62
veľkosť,61
bežný,60
nemať,60
podľa,60
presný,60
slnečný,59
miliarda,59
tri,58
totiž,58
pot,58
okrem,58
rovnako,58
množstvo,58
vzniknúť,58
hodnota,58
meniť,57
pred,56
kvapka,56
pôsobiť,55
približne,55
elektrón,55
vlastne,54
dobre,54
chemický,54
dôsledok,54
vyzerať,54
oko,53
spraviť,53
rozdiel,53
efekt,53
vplyv,53
stále,53
proces,52
lietadlo,51
obloha,51
chcieť,51
koľko,51
desať,51
zložitý,51
zaujímavý,51
stav,51
prúd,51
náboj,51
výška,51
experiment,50
bez,50
nejaký,50
tiež,50
zmeniť,50
podobne,50
ďalej,50
fyzikálny,49
nad,49
rastlina,49
nebyť,49
druhý,49
možný,49
znieť,49
šíriť,49
dlhý,48
strana,48
počas,48
vlnenie,48
hustota,48
hodina,47
ukázať,47
žiarenie,47
druhá,47
galaxia,47
naozaj,46
platiť,46
priestor,46
dúha,46
strom,45
dnes,45
vodík,45
žiaden,45
rôzne,45
podmienka,45
oceán,45
znamenať,45
čierny,45
kniha,44
treba,44
rásť,44
možnosť,44
dôležitý,44
celý,44
oblasť,44
aspoň,44
atmosféra,44
dol,44
kvantový,44
lebo,44
zvuk,44
odpoveď,43
celá,43
pojem,43
väzba,43
rýchlo,43
prakticky,43
uhlík,42
závisieť,42
elektromagnetický,42
jav,41
tam,41
entropia,41
podobný,41
pozrieť,41
zdroj,40
zistiť,40
ďaleko,40
nový,40
červená,40
vtedy,39
zobrať,39
lúč,39
počet,39
hora,39
skutočnosť,38
oxid,38
telo,38
spôsob,38
väčšina,38
práca,38
modrá,38
nevedieť,38
menej,38
správanie,38
konštanta,38
základ,37
slovo,37
systém,37
zachytiť,37
dlho,37
naopak,37
mimochodom,37
druh,37
bod,37
objem,37
sto,36
mal,36
pomerne,36
uhličitý,36
často,36
reakcia,36
dokopy,36
látka,36
niekto,36
áno,36
teraz,36
určiť,36
fungovať,35
držať,35
stačiť,35
objav,35
diera,35
vrátiť,35
okolie,35
milión,35
hýbať,35
ľahko,34
vytvoriť,34
vždy,34
ťažko,33
inak,33
zároveň,33
výskum,33
dosť,33
takto,33
princíp,33
svetelný,33
vznik,33
hladina,33
frekvencia,33
predsa,32
nájsť,32
robiť,32
ťažký,32
predstavovať,32
spôsobovať,32
nízky,32
opisovať,32
pomaly,32
raz,31
objaviť,31
vysvetlenie,31
pomer,31
zodpovedať,31
einstein,31
dobrý,31
prejsť,31
povrch,31
vzdialený,31
dráha,31
mala,30
materiál,30
samozrejme,30
vysoká,30
fyzikálne,30
blízko,30
kométa,30
loď,30
vločka,30
príroda,29
snažiť,29
jednoducho,29
detail,29
tu,29
zvláštne,29
všimnúť,29
najprv,29
symetria,29
