word,number_of_occurences
a,1110
sa,1047
byť,955
to,806
on,702
na,690
v,473
že,457
si,450
ale,398
čo,297
mať,288
tak,282
ako,262
už,257
i,246
s,241
len,227
ktorý,224
tá,220
z,212
o,193
ono,191
svoj,190
do,189
by,164
vedieť,163
keď,135
všetok,133
však,128
ten,124
nie,123
človek,118
ani,118
ja,112
za,107
bentas,107
môcť,100
ak,100
rok,95
aby,91
matt,90
zem,87
pot,87
po,86
no,85
ty,84
chcieť,84
možno,84
my,83
teraz,82
ešte,82
ona,81
jeden,80
niečo,80
nevedieť,78
musieť,78
alebo,74
predsa,74
nebyť,73
táto,72
veľa,70
nejaký,69
k,69
nič,67
stále,66
viesť,66
ľudia,65
začať,63
od,63
pri,63
seba,62
život,62
až,61
noha,58
toto,58
vidieť,58
akoby,57
iný,57
iba,57
veľmi,55
svet,53
dobre,53
vy,53
nikdy,53
tam,53
pred,50
nemať,50
mathaios,50
tu,50
dostať,49
znova,49
nemôcť,49
cítiť,49
ďalší,48
sen,47
asi,46
tento,45
ísť,45
pre,43
prečo,43
vesmír,43
aj,43
vždy,42
každý,42
akýsi,42
sám,42
nikto,42
ben,42
dokonca,41
taký,41
veľký,41
oko,41
laimon,41
kto,40
pocit,40
ký,39
sto,39
čas,38
druhý,38
niekto,38
kde,38
vôbec,38
či,38
skoro,37
žiaden,37
hlava,37
takmer,36
teda,36
dať,36
dokázať,36
oba,36
vec,36
preto,35
nájsť,34
zrejme,34
robiť,34
čosi,34
než,33
hovoriť,33
istý,32
zraz,32
ruka,32
myslieť,32
nový,31
dva,31
lišiak,31
loď,31
tri,30
prvý,30
bez,30
chvíľa,30
vyzerať,30
vlastne,30
deň,29
raz,29
síce,29
často,29
sekunda,29
áno,29
žiť,28
telo,28
pravda,28
celá,28
hneď,28
miesto,28
slovo,28
auto,28
povedať,28
prísť,27
vlastný,27
nechať,27
planéta,27
hviezda,27
určiť,27
rád,27
kameň,27
zmeniť,26
desať,26
chvost,26
mikan,26
takto,25
aspoň,25
celok,25
veriť,25
poznať,25
takýto,25
takže,25
civilizácia,25
inak,24
aký,24
nehoda,24
presne,24
ryba,24
potrebovať,23
pretože,23
nevidieť,23
bomba,23
fakt,22
podľa,22
trocha,22
plán,22
dívať,22
sedieť,22
miestny,22
zase,21
pár,21
čakať,21
stať,21
laimons,21
málo,20
celý,20
pozemšťan,20
pomôcť,20
lebo,20
mesto,20
nemusieť,20
obloha,20
právo,20
mama,20
ďaleko,20
snívať,20
naozaj,20
totiž,19
stav,19
pod,19
lepší,19
môj,19
zistiť,19
pozrieť,19
biely,19
dlho,18
ľudstvo,18
koľko,18
jediný,18
napriek,18
podobný,18
spomenúť,18
tiež,18
rýchlosť,18
okno,18
výbuch,18
pozemský,18
nechcieť,17
samotný,17
pohľad,17
pomyslieť,17
otázka,17
možný,17
smrť,16
obdobie,16
pomaly,16
zmysel,16
vesmírny,16
vraj,16
všimnúť,16
dosť,16
stáť,16
nedať,16
chytiť,16
esencia,16
cesta,16
stratiť,15
neznámy,15
vtedy,15
strana,15
počuť,15
silný,15
rozhodnúť,15
kvôli,15
ukázať,15
nejako,15
práca,15
vzduch,15
vrátiť,15
snažiť,15
urobiť,15
keby,15
príliš,15
kedy,15
zatiaľ,14
problém,14
hlavne,14
svetlo,14
niektorý,14
kreslo,14
malý,14
dieťa,14
hrať,14
nemá,14
ostať,14
tvoj,14
proste,14
žeby,14
vybrať,14
kam,14
podstata,14
balík,14
spätiť,13
predtým,13
dnes,13
vírus,13
postaviť,13
krajina,13
vziať,13
plný,13
vstať,13
sila,13
existovať,13
hlas,13
formula,13
obrovský,13
pilot,13
nech,13
nad,13
ráz,13
dej,13
pochopiť,13
otvoriť,13
váš,13
náš,13
vojna,12
šíriť,12
druh,12
nedokázať,12
temer,12
toľko,12
koniec,12
energia,12
neustály,12
prestať,12
opýtať,12
sem,12
prejsť,12
niekedy,12
farba,12
preteky,12
tretí,12
bolieť,12
snáď,12
von,12
zvuk,12
rieka,12
meniť,12
predstava,12
priestor,12
voda,12
rozumieť,12
prst,12
pamätať,11
storočie,11
avšak,11
fungovať,11
dlhý,11
hodina,11
časť,11
hýbať,11
prosiť,11
pričom,11
slnko,11
oblasť,11
generácia,11
okolo,11
udalosť,11
zopár,11
pomoc,11
načo,11
nôž,11
akosi,11
týždeň,11
ostatný,11
pravidlo,11
pokúsiť,11
malá,11
bentasa,11
znovu,11
podobať,11
líška,11
hračka,11
tvár,11
tornádo,11
medza,10
neskoro,10
trvať,10
podmienka,10
predstaviť,10
zastaviť,10
zdať,10
pracovať,10
skvelý,10
potreba,10
šanca,10
nakoniec,10
cez,10
zažiť,10
vyše,10
spraviť,10
dobrý,10
kedysi,10
loukas,10
poslať,10
zlé,10
usmiať,10
mimo,10
stretnúť,10
zlý,10
doteraz,10
necítiť,10
pravý,10
stroj,10
posledný,10
nadhodiť,10
zabudnúť,10
zrak,10
dôležitý,10
hlúpy,10
ušiť,10
odkiaľ,10
smer,10
čí,10
čokoľvek,10
pekný,10
motor,10
peniaze,9
hľadať,9
úplne,9
jedlo,9
ulica,9
realita,9
určitý,9
pritom,9
prežiť,9
všade,9
noc,9
niekde,9
dvadsať,9
žena,9
rýchlo,9
poriadne,9
nemámiť,9
nechápať,9
blížiť,9
občas,9
napadnúť,9
kilometer,9
aut,9
prebrať,9
hľadieť,9
vonku,9
bývať,9
počkať,9
ucho,9
vyjsť,9
sadnúť,9
okolie,9
jasný,9
riešenie,9
raketa,9
laimona,9
jedinec,9
tvar,9
zacítiť,9
nijak,9
úsmev,9
daný,9
vedec,9
sopka,9
logika,9
mäso,9
udica,9
aukarei,9
modul,9
bledar,9
tma,9
ťažký,8
mesiac,8
predpovedať,8
cena,8
napokon,8
dávať,8
vr,8
mozog,8
naraziť,8
kdesi,8
večný,8
natoľko,8
brať,8
sledovať,8
vysoký,8
výrazne,8
katastrofa,8
štyri,8
mladý,8
zajtra,8
zvládnuť,8
baviť,8
opäť,8
jednoducho,8
bod,8
mathaiosa,8
odpoveď,8
uvidieť,8
situácia,8
škola,8
blízky,8
pokračovať,8
nerozumieť,8
klásť,8
vysvetliť,8
hodiť,8
získať,8
chuť,8
zle,8
starať,8
zmena,8
vôkol,8
vedľa,8
meno,8
svetelný,8
zvláštny,8
líščí,8
údajne,8
informácia,8
dôvod,8
vnútro,8
volant,8
zbaviť,8
návnada,8
dotknúť,8
chytať,8
spánok,8
minulý,7
pripadať,7
milión,7
znamenať,7
ľudský,7
možnosť,7
pnúť,7
najmä,7
liek,7
boh,7
kus,7
množstvo,7
helma,7
ústa,7
myseľ,7
percento,7
sedem,7
erupcia,7
predošlý,7
obyvateľ,7
zachrániť,7
nediať,7
kamsi,7
prevodovka,7
samozrejme,7
šťava,7
veru,7
nijako,7
trať,7
súčasný,7
stôl,7
považovať,7
ľavý,7
ocitnúť,7
dopadnúť,7
vzdialený,7
stráviť,7
u,7
pustiť,7
posteľ,7
mathaiosovi,7
podobne,7
nepoznať,7
štúdium,7
zub,7
predmet,7
správne,7
ležať,7
podívať,7
uvedomiť,7
kamera,7
plece,7
stačiť,7
hmota,7
misia,7
niečí,7
začínať,7
nos,7
akýkoľvek,7
vďaka,7
päť,7
domov,7
čísi,7
aha,7
vrecko,7
kôň,7
zaujímať,7
nedávať,7
dobré,7
triasť,7
skúsiť,7
Kristínka,7
vnímať,7
doba,7
film,7
prípad,7
rybár,7
stan,7
priveľa,6
rodina,6
sprvoti,6
objaviť,6
