word,number_of_occurences
a,346
sa,314
ona,235
na,162
byť,142
si,136
on,129
v,119
do,96
to,84
lano,79
ako,74
z,73
Belo,71
s,68
mať,62
že,49
už,44
ktorý,39
ono,34
keď,34
k,33
tak,29
ja,29
za,27
čo,26
ešte,24
po,23
ruka,23
chcieť,22
ty,22
aj,21
až,21
život,20
seba,20
by,19
usmiať,19
od,19
no,19
pri,19
tá,19
o,19
oko,19
cítiť,19
i,18
len,18
pohľad,18
vlas,16
akoby,16
iba,16
ale,16
nie,16
veľmi,16
aby,15
tvár,15
skoro,15
ani,15
sám,15
pred,14
teraz,14
pre,14
niečo,14
taký,14
sedieť,14
dlaň,14
veľa,13
všetok,13
svoj,13
vždy,13
mama,13
cez,13
pivo,13
však,12
vidieť,12
jeden,12
matka,11
izba,11
chvíľa,11
tu,11
Roman,11
prísť,11
žena,10
okolo,10
muž,10
môcť,10
nebyť,10
rád,10
začať,10
nič,10
povedať,9
viesť,9
nemať,9
hneď,9
úsmev,9
preto,9
zasmiať,9
deň,9
páčiť,9
rameno,9
možno,9
chvíľka,9
otvoriť,9
okno,8
kde,8
káva,8
hodina,8
pod,8
stále,8
hlava,8
nechcieť,8
nevedieť,8
pocit,8
dva,8
dať,8
vrecko,8
truhlica,8
myseľ,7
vyzerať,7
prejsť,7
dedina,7
cesta,7
vziať,7
dom,7
srdce,7
odísť,7
vybrať,7
malá,7
aký,7
pekný,7
príliš,7
troška,7
musieť,7
vec,7
právo,7
pot,7
noha,7
vnímať,6
hnedý,6
nad,6
akýsi,6
mam,6
stáť,6
celá,6
líce,6
vy,6
šťastný,6
celok,6
opäť,6
vedľa,6
naň,6
každý,6
asi,6
dobre,6
dvere,6
prosiť,6
nos,6
nikto,6
hľadieť,6
pozrieť,6
starý,6
ústa,6
pohladiť,6
všimnúť,6
uvedomiť,6
prsteň,6
dýchať,5
zahľadieť,5
noc,5
posteľ,5
vlastný,5
cigareta,5
zvyšok,5
čakať,5
položiť,5
práca,5
autobus,5
dievča,5
voda,5
usmievať,5
pocítiť,5
veľký,5
medza,5
takýto,5
zasa,5
pokojne,5
chrbát,5
stolík,5
blúzka,5
niekto,5
pretože,5
sen,5
tam,5
upravovať,5
uterák,5
veselo,5
bok,5
zrak,5
temer,5
stôl,5
vytiahnuť,5
energia,5
zadívať,5
chodiť,5
prvý,5
celý,5
považovať,5
čas,5
obraz,5
potrebovať,5
kedy,5
dej,5
prikrývka,4
priťahovať,4
zle,4
odpiť,4
malé,4
dvor,4
doslova,4
otec,4
u,4
