word,number_of_occurences
byť,2331
a,1823
v,1206
sa,777
na,764
ktorý,573
alebo,390
to,388
s,377
mať,375
môcť,373
o,368
ako,352
výskumný,340
že,328
aj,327
výskum,280
by,275
časopis,262
projekt,261
čo,244
práca,243
ten,242
z,231
pre,223
vedecký,221
či,215
pri,195
k,189
článok,185
ak,185
tento,172
autor,171
časť,169
výsledok,167
ale,162
náš,161
ich,160
my,158
dôležitý,154
táto,149
aký,145
do,142
aby,139
prípad,139
všetok,137
štúdia,137
teda,136
informácia,135
obrázok,135
dáta,133
nie,131
potrebný,127
musieť,124
svoj,118
iný,117
etický,115
otázka,111
napríklad,110
ďalší,109
spôsob,108
respondent,107
vzorka,100
už,100
po,99
tak,95
údaj,94
rámec,94
za,93
veľmi,93
len,92
možný,90
rok,90
zdroj,89
téma,89
prvý,88
on,88
jeho,87
tiež,86
napr,86
posudzovateľ,86
niektorý,84
každý,84
zistenie,83
i,82
grantový,78
cieľ,77
tabuľka,76
rukopis,75
od,74
editor,74
ísť,74
zber,73
názov,73
the,73
proces,72
posudzovanie,72
až,70
of,69
základný,68
jeden,66
kto,66
konkrétny,65
publikovanie,64
vedieť,64
tím,64
text,63
metóda,63
daný,63
literatúra,62
databáza,62
príklad,62
mnoho,62
publikácia,60
výber,60
chcieť,59
štruktúra,59
projektový,59
príprava,58
povedať,58
mal,58
popis,58
prípadne,58
manažment,57
záver,57
úloha,57
protokol,56
potrebovať,56
resp,56
písanie,55
vy,53
kde,53
nemať,53
hlavná,53
správa,52
jednotlivý,52
finančný,52
bola,51
súhlas,51
agentúra,51
oblasť,51
podľa,51
kapitola,50
podmienka,50
znamenať,50
forma,49
záujem,49
keď,49
vhodný,49
počet,49
analýza,49
možnosť,48
návrh,48
komisia,48
rad,47
človek,47
rozpočet,47
prednáška,46
vyhľadávanie,46
problém,46
však,46
medza,46
ešte,46
plánovanie,45
poster,45
obsahovať,45
materiál,44
odborný,44
tu,44
preto,44
časový,43
začať,43
ho,43
publikum,42
etika,42
tzv,42
inštitúcia,42
rôzne,41
and,41
často,41
náklad,41
pot,40
takýto,40
stránka,40
program,40
schéma,39
uvádzať,39
pomôcť,38
nájsť,38
nejaký,38
veľký,38
čas,37
podobne,37
používať,37
krok,37
váš,37
naši,36
typ,36
zoznam,36
celý,36
výskumník,36
uvedený,36
ďalej,36
abstrakt,36
premenná,36
štatistický,36
dotazník,36
publikovať,36
výzva,35
,35
dať,35
prostriedok,35
prezentovať,34
ona,34
následne,34
popisovať,34
úvod,33
vrátane,33
dva,33
konflikt,33
taktiež,33
hlavný,33
komunikácia,32
aspekt,32
verejnosť,32
informovaný,32
in,32
kvalita,32
dôvod,32
impact,32
riešiteľ,32
aplikácia,32
spracovanie,31
kolega,31
základ,31
jej,31
skupina,31
fáza,31
vlastný,31
kľúčový,31
bez,31
kedy,31
odpoveď,31
pozornosť,30
prezentácia,30
zabezpečiť,30
nevyhnutný,30
myšlienka,30
chyba,30
publikovaný,30
rôzny,29
riziko,29
kritérium,29
výstup,29
kategória,29
strana,29
prístup,29
väčšina,29
použitý,29
urobiť,29
obvykle,29
najmä,28
skúmať,28
pracovať,28
týkať,28
nebyť,28
ani,28
mala,28
posudok,28
list,27
predstaviť,27
niečo,27
súčasť,27
vždy,27
pacient,27
vaša,27
kontrola,27
druhá,26
realizácia,26
tlačový,26
rovesnícky,26
prečo,26
robiť,26
predchádzajúci,26
podanie,26
graf,26
dobré,26
nový,26
pravidlo,26
čitateľ,26
cieliť,26
jasne,26
treba,26
člen,26
dostupný,25
istý,25
autorstvo,25
pred,25
posúdenie,25
dobrý,25
určitý,25
pozrieť,25
nástroj,25
postup,25
vybrať,25
školák,25
you,25
literárny,24
venovať,24
štandard,24
posledný,24
kontext,24
priebeh,24
diskusia,24
patriť,24
platiť,24
jednoduchý,24
mesiac,24
vyžadovať,24
spoluautor,24
prostredníctvo,23
nevhodný,23
u,23
hovoriť,23
organizácia,23
celkový,23
pracovisko,23
slov,23
vidieť,23
podpor,23
hodnotenie,22
pripraviť,22
relevantný,22
súbor,22
veda,22
pomoc,22
pod,22
koľko,22
samotný,22
mzda,22
princíp,21
popísať,21
učenie,21
tvorba,21
personálny,21
týkajúci,21
zviera,21
súvisieť,21
for,21
dobre,21
viacero,21
pokiaľ,21
situácia,21
snažiť,21
hľadať,21
množstvo,21
vzťah,21
journal,21
zmena,21
•,21
problémový,20
rovnako,20
mnohé,20
účasť,20
teraz,20
vopred,20
zistiť,20
pretože,20
správanie,20
niekoľko,20
číslo,20
slovo,20
inštrukcia,20
niekto,20
častý,19
tretí,19
skríning,19
súčasný,19
písať,19
scopus,19
konkrétne,19
potreba,19
medzinárodný,19
poskytnúť,19
presne,19
približne,19
priamo,19
dizajn,19
systém,19
existovať,19
zároveň,19
redakcia,19
odkaz,18
účel,18
praktika,18
špecifický,18
využívať,18
dokument,18
počas,18
hodnota,18
uvažovať,18
nad,18
kvalitný,18
vyjadrenie,18
kontakt,18
miesto,18
nemusieť,18
poradie,18
príliš,18
nasledujúci,18
presný,18
prax,18
termín,18
kolektív,18
autorský,18
pokračovať,17
podrobne,17
prejsť,17
obsah,17
sprievodný,17
osobný,17
riešenie,17
diagram,17
účastník,17
európsky,17
univerzita,17
taký,17
verejný,17
súlad,17
získať,17
pracovník,17
jazyk,17
meno,17
ovplyvniť,17
poskytovať,17
ponúkať,17
krajina,17
využiť,17
veľkosť,17
zadávateľ,17
pracovný,17
silný,17
stať,17
deň,17
publikačný,17
integrita,16
poznať,16
podoba,16
stručný,16
druhý,16
cyklus,16
venovaný,16
dôsledok,16
krátky,16
zameranie,16
prezentovania,16
populácia,16
dieťa,16
úroveň,16
odporúčať,16
osoba,16
prínos,16
použiť,16
kontrolný,16
zaujímať,16
odborník,16
umožniť,16
použitie,16
uviesť,16
neposledný,16
malo,16
vrátiť,16
science,16
iba,16
posúdiť,16
finálny,16
okrem,16
zadanie,16
súťaž,16
zdôvodnenie,16
informovať,16
online,15
kapacita,15
akýkoľvek,15
zodpovednosť,15
spolupráca,15
kontrolovať,15
vplyv,15
rozdiel,15
priestor,15
vyhnúť,15
asistent,15
niekedy,15
vek,15
keďže,15
web,15
bývať,15
podobný,15
polovica,15
factor,15
zvolený,15
slovenský,15
dokázať,15
plán,15
trvať,15
grant,15
škola,15
priamy,15
šanca,15
verzia,15
jasný,15
východisko,15
deskriptívny,15
dom,15
financovanie,14
ukončenie,14
lekársky,14
fakulta,14
uvedomiť,14
pochybenie,14
rešerš,14
dostať,14
poznatok,14
porušenie,14
pohľad,14
harmonogram,14
prispieť,14
práve,14
konferencia,14
rozhodnutie,14
zabezpečenie,14
rámcový,14
tá,14
súvislosť,14
stav,14
prehľad,14
dávať,14
dôležite,14
výraz,14
veľa,14
stanovený,14
dan,14
slabý,14
nasledovať,14
jasné,14
komunikovať,14
identita,14
ap,14
prečítať,14
zaslať,14
stiahnutý,14
afiliácia,14
zameraný,13
posudzovať,13
logistika,13
laický,13
postupovať,13
ochrana,13
vysvetliť,13
považovať,13
začiatok,13
založený,13
spomínaný,13
skoro,13
zvážiť,13
odmietnutie,13
storočie,13
pričom,13
tri,13
toto,13
náročný,13
dôjsť,13
takže,13
zvyčajne,13
identifikovať,13
umožňovať,13
napísať,13
platforma,13
žiaden,13
budiť,13
závislý,13
lebo,13
služba,13
osloviť,13
podvod,13
